Row Labels,Count of effective_date_registration
20190101,13
20190102,499
20190103,468
20190104,100
20190105,479
20190106,432
20190107,28
20190108,12
20190109,460
20190110,460
20190111,828
20190112,467
20190113,385
20190114,35
20190115,14
20190116,444
20190117,413
20190118,399
20190119,399
20190120,385
20190121,21
20190122,1
20190123,29
20190124,9
20190125,118
20190126,512
20190127,499
20190128,33
20190129,29
20190130,63
20190131,25
20190201,420
20190202,437
20190203,491
20190204,29
20190205,15
20190206,480
20190207,411
20190208,466
20190209,498
20190210,467
20190211,52
20190212,36
20190213,459
20190214,486
20190215,766
20190216,450
20190217,474
20190218,31
20190219,23
20190220,32
20190221,552
20190222,466
20190223,443
20190224,443
20190225,37
20190226,14
20190227,494
20190228,456
20190301,397
20190302,427
20190303,480
20190304,34
20190305,54
20190306,508
20190307,477
20190308,439
20190309,424
20190310,467
20190311,42
20190312,19
20190313,456
20190314,470
20190315,740
20190316,419
20190317,417
20190318,36
20190319,15
20190320,57
20190321,502
20190322,440
20190323,458
20190324,446
20190325,42
20190326,17
20190327,487
20190328,400
20190329,358
20190330,445
20190331,448
20190401,29
20190402,17
20190403,457
20190404,436
20190405,465
20190406,468
20190407,438
20190408,35
20190409,21
20190410,466
20190411,460
20190412,615
20190413,440
20190414,499
20190415,37
20190416,15
20190417,513
20190418,428
20190419,435
20190420,557
20190421,462
20190422,44
20190423,9
20190424,511
20190425,441
20190426,435
20190427,449
20190428,454
20190429,58
20190430,14
20190501,512
20190502,489
20190503,864
20190504,861
20190505,427
20190506,52
20190507,10
20190508,417
20190509,420
20190510,464
20190511,456
20190512,437
20190513,32
20190514,15
20190515,443
20190516,409
20190517,712
20190518,449
20190519,201
20190520,27
20190521,9
20190522,486
20190523,552
20190524,450
20190525,485
20190526,510
20190527,66
20190528,18
20190529,490
20190530,553
20190531,454
20190601,380
20190602,447
20190603,243
20190604,20
20190605,501
20190606,454
20190607,424
20190608,600
20190609,301
20190610,40
20190611,9
20190612,509
20190613,413
20190614,698
20190615,424
20190616,407
20190617,45
20190618,21
20190619,478
20190620,387
20190621,417
20190622,466
20190623,445
20190624,33
20190625,19
20190626,27
20190627,484
20190628,418
20190629,405
20190630,448
20190701,64
20190702,16
20190703,494
20190704,403
20190705,428
20190706,390
20190707,435
20190708,71
20190709,22
20190710,456
20190711,450
20190712,401
20190713,455
20190714,441
20190715,57
20190716,13
20190717,486
20190718,463
20190719,729
20190720,511
20190721,526
20190722,60
20190723,17
20190724,471
20190725,467
20190726,508
20190727,463
20190728,493
20190729,55
20190730,23
20190731,546
20190801,526
20190802,527
20190803,31
20190804,581
20190805,50
20190806,15
20190807,586
20190808,554
20190809,911
20190810,516
20190811,485
20190812,66
20190813,21
20190814,567
20190815,508
20190816,516
20190817,530
20190818,577
20190819,65
20190820,31
20190821,575
20190822,539
20190823,863
20190824,506
20190825,502
20190826,34
20190827,89
20190828,482
20190829,489
20190830,544
20190831,591
20190901,622
20190902,82
20190903,22
20190904,638
20190905,567
20190906,555
20190907,551
20190908,552
20190909,78
20190910,34
20190911,638
20190912,479
20190913,554
20190914,529
20190915,572
20190916,56
20190917,25
20190918,638
20190919,597
20190920,881
20190921,652
20190922,598
20190923,51
20190924,27
20190925,649
20190926,537
20190927,606
20190928,614
20190929,604
20190930,48
20191001,31
20191002,38
20191003,689
20191004,952
20191005,588
20191006,601
20191007,61
20191008,32
20191009,633
20191010,664
20191011,600
20191012,607
20191013,633
20191014,80
20191015,50
20191016,701
20191017,606
20191018,915
20191019,532
20191020,592
20191021,154
20191022,74
20191023,762
20191024,950
20191025,855
20191026,747
20191027,768
20191028,136
20191029,53
20191030,890
20191031,865
20191101,778
20191102,789
20191103,958
20191104,174
20191105,1863
20191106,20
20191107,622
20191108,483
20191109,543
20191110,510
20191111,91
20191112,26
20191113,398
20191114,640
20191115,906
20191116,587
20191117,711
20191118,98
20191119,40
20191120,658
20191121,606
20191122,602
20191123,562
20191124,592
20191125,122
20191126,28
20191127,676
20191128,574
20191129,562
20191130,579
20191201,673
20191202,82
20191203,26
20191204,718
20191205,1249
20191206,695
20191207,637
20191208,728
20191209,93
20191210,56
20191211,120
20191212,751
20191213,925
20191214,762
20191215,674
20191216,63
20191217,34
20191218,676
20191219,628
20191220,920
20191221,578
20191222,562
20191223,58
20191224,11
20191225,627
20191226,626
20191227,164
20191228,17
20191229,81
20191230,86
20191231,55
Grand Total,140728
