Row Labels,Count of effective_date_registration
20180101,168
20180102,6
20180103,230
20180104,249
20180105,198
20180106,202
20180107,192
20180108,19
20180109,12
20180110,256
20180111,223
20180112,317
20180113,269
20180114,227
20180115,27
20180116,11
20180117,274
20180118,211
20180119,252
20180120,178
20180121,106
20180122,28
20180123,5
20180124,8
20180125,42
20180126,279
20180127,248
20180128,173
20180129,37
20180130,9
20180131,22
20180201,310
20180202,302
20180203,277
20180204,243
20180205,36
20180206,17
20180207,342
20180208,362
20180209,342
20180210,302
20180211,274
20180212,37
20180213,10
20180214,20
20180215,174
20180216,283
20180217,335
20180218,314
20180219,67
20180220,42
20180221,443
20180222,413
20180223,381
20180224,360
20180225,347
20180226,72
20180227,30
20180228,442
20180301,433
20180302,456
20180303,601
20180304,679
20180305,129
20180306,1565
20180307,13
20180308,300
20180309,214
20180310,260
20180311,228
20180312,40
20180313,8
20180314,244
20180315,224
20180316,323
20180317,242
20180318,152
20180319,38
20180320,15
20180321,35
20180322,296
20180323,222
20180324,252
20180325,230
20180326,66
20180327,13
20180328,339
20180329,269
20180330,308
20180331,298
20180401,294
20180402,43
20180403,13
20180404,294
20180405,627
20180406,289
20180407,257
20180408,240
20180409,29
20180410,12
20180411,268
20180412,203
20180413,297
20180414,205
20180415,179
20180416,30
20180417,18
20180418,308
20180419,232
20180420,243
20180421,214
20180422,180
20180423,30
20180424,7
20180425,237
20180426,227
20180427,165
20180428,201
20180429,71
20180430,19
20180501,14
20180502,269
20180503,243
20180504,237
20180505,370
20180506,152
20180507,16
20180508,6
20180509,212
20180510,208
20180511,223
20180512,194
20180513,192
20180514,13
20180515,8
20180516,202
20180517,202
20180518,286
20180519,223
20180520,190
20180521,35
20180522,344
20180523,3
20180524,201
20180525,218
20180526,141
20180527,194
20180528,23
20180529,10
20180530,232
20180531,208
20180601,190
20180602,226
20180603,146
20180604,83
20180605,12
20180606,216
20180607,222
20180608,197
20180609,218
20180610,172
20180611,17
20180612,6
20180613,217
20180614,208
20180615,341
20180616,257
20180617,184
20180618,21
20180619,5
20180620,212
20180621,246
20180622,189
20180623,234
20180624,190
20180625,28
20180626,3
20180627,7
20180628,221
20180629,203
20180630,186
20180701,182
20180702,16
20180703,8
20180704,220
20180705,261
20180706,199
20180707,178
20180708,164
20180709,21
20180710,10
20180711,232
20180712,211
20180713,226
20180714,196
20180715,148
20180716,42
20180717,10
20180718,236
20180719,171
20180720,297
20180721,190
20180722,231
20180723,21
20180724,19
20180725,197
20180726,221
20180727,232
20180728,214
20180729,187
20180730,49
20180731,32
20180801,247
20180802,239
20180803,23
20180804,271
20180805,224
20180806,19
20180807,8
20180808,242
20180809,251
20180810,271
20180811,239
20180812,211
20180813,26
20180814,22
20180815,267
20180816,219
20180817,267
20180818,243
20180819,215
20180820,31
20180821,14
20180822,226
20180823,213
20180824,378
20180825,268
20180826,202
20180827,46
20180828,15
20180829,295
20180830,252
20180831,273
20180901,295
20180902,231
20180903,54
20180904,39
20180905,348
20180906,280
20180907,310
20180908,314
20180909,260
20180910,53
20180911,18
20180912,292
20180913,299
20180914,326
20180915,345
20180916,296
20180917,73
20180918,51
20180919,305
20180920,335
20180921,488
20180922,293
20180923,293
20180924,70
20180925,19
20180926,372
20180927,361
20180928,475
20180929,377
20180930,319
20181001,85
20181002,31
20181003,37
20181004,498
20181005,388
20181006,502
20181007,456
20181008,151
20181009,66
20181010,611
20181011,450
20181012,476
20181013,563
20181014,488
20181015,159
20181016,82
20181017,660
20181018,625
20181019,689
20181020,669
20181021,674
20181022,223
20181023,95
20181024,1032
20181025,1146
20181026,1006
20181027,907
20181028,986
20181029,335
20181030,176
20181031,1584
20181101,1259
20181102,1272
20181103,1362
20181104,1500
20181105,421
20181106,7232
20181107,2
20181108,66
20181109,394
20181110,225
20181111,211
20181112,24
20181113,6
20181114,213
20181115,165
20181116,288
20181117,177
20181118,163
20181119,28
20181120,4
20181121,360
20181122,376
20181123,394
20181124,371
20181125,358
20181126,128
20181127,48
20181128,413
20181129,412
20181130,327
20181201,416
20181202,504
20181203,37
20181204,18
20181205,229
20181206,2113
20181207,324
20181208,275
20181209,179
20181210,18
20181211,105
20181212,67
20181213,217
20181214,322
20181215,251
20181216,209
20181217,17
20181218,9
20181219,203
20181220,185
20181221,88
20181222,3
20181223,21
20181224,12
20181225,8
20181226,280
20181227,243
20181228,241
20181229,198
20181230,179
20181231,18
Grand Total,93672
