Row Labels,Count of effective_date_registration
20180101,238
20180102,12
20180103,393
20180104,383
20180105,330
20180106,281
20180107,389
20180108,20
20180109,19
20180110,436
20180111,371
20180112,548
20180113,429
20180114,415
20180115,31
20180116,20
20180117,397
20180118,363
20180119,375
20180120,346
20180121,227
20180122,17
20180123,5
20180124,1
20180125,50
20180126,496
20180127,448
20180128,315
20180129,19
20180130,4
20180131,32
20180201,508
20180202,407
20180203,421
20180204,498
20180205,59
20180206,19
20180207,468
20180208,438
20180209,443
20180210,458
20180211,527
20180212,56
20180213,20
20180214,45
20180215,264
20180216,396
20180217,466
20180218,513
20180219,93
20180220,41
20180221,567
20180222,473
20180223,499
20180224,424
20180225,561
20180226,69
20180227,56
20180228,627
20180301,616
20180302,676
20180303,798
20180304,940
20180305,163
20180306,1937
20180307,12
20180308,492
20180309,355
20180310,410
20180311,466
20180312,52
20180313,21
20180314,393
20180315,389
20180316,665
20180317,315
20180318,437
20180319,29
20180320,14
20180321,35
20180322,503
20180323,399
20180324,464
20180325,504
20180326,93
20180327,22
20180328,507
20180329,420
20180330,440
20180331,478
20180401,550
20180402,54
20180403,23
20180404,523
20180405,1102
20180406,468
20180407,412
20180408,490
20180409,39
20180410,7
20180411,530
20180412,429
20180413,599
20180414,465
20180415,447
20180416,41
20180417,12
20180418,443
20180419,387
20180420,427
20180421,443
20180422,436
20180423,60
20180424,15
20180425,439
20180426,417
20180427,397
20180428,398
20180429,190
20180430,15
20180501,17
20180502,441
20180503,415
20180504,435
20180505,566
20180506,390
20180507,30
20180508,18
20180509,386
20180510,412
20180511,341
20180512,374
20180513,403
20180514,40
20180515,9
20180516,359
20180517,387
20180518,607
20180519,395
20180520,394
20180521,46
20180522,589
20180523,7
20180524,402
20180525,362
20180526,347
20180527,423
20180528,38
20180529,23
20180530,426
20180531,437
20180601,341
20180602,346
20180603,382
20180604,200
20180605,19
20180606,388
20180607,315
20180608,349
20180609,351
20180610,373
20180611,32
20180612,3
20180613,421
20180614,391
20180615,756
20180616,420
20180617,407
20180618,32
20180619,10
20180620,362
20180621,424
20180622,334
20180623,398
20180624,387
20180625,39
20180626,7
20180627,9
20180628,393
20180629,347
20180630,372
20180701,412
20180702,36
20180703,11
20180704,421
20180705,371
20180706,348
20180707,337
20180708,352
20180709,38
20180710,19
20180711,398
20180712,380
20180713,341
20180714,347
20180715,374
20180716,69
20180717,6
20180718,397
20180719,328
20180720,882
20180721,399
20180722,439
20180723,35
20180724,57
20180725,368
20180726,406
20180727,388
20180728,425
20180729,411
20180730,57
20180731,61
20180801,365
20180802,474
20180803,38
20180804,498
20180805,562
20180806,41
20180807,25
20180808,461
20180809,427
20180810,392
20180811,414
20180812,429
20180813,44
20180814,57
20180815,450
20180816,409
20180817,451
20180818,398
20180819,462
20180820,43
20180821,19
20180822,433
20180823,453
20180824,1039
20180825,479
20180826,466
20180827,52
20180828,30
20180829,465
20180830,479
20180831,439
20180901,460
20180902,514
20180903,74
20180904,92
20180905,522
20180906,472
20180907,461
20180908,477
20180909,477
20180910,99
20180911,37
20180912,502
20180913,469
20180914,457
20180915,478
20180916,576
20180917,87
20180918,85
20180919,527
20180920,546
20180921,1041
20180922,515
20180923,595
20180924,125
20180925,46
20180926,608
20180927,614
20180928,1111
20180929,562
20180930,665
20181001,133
20181002,61
20181003,46
20181004,714
20181005,495
20181006,733
20181007,715
20181008,211
20181009,101
20181010,888
20181011,758
20181012,628
20181013,818
20181014,815
20181015,257
20181016,131
20181017,1005
20181018,910
20181019,1177
20181020,1001
20181021,1052
20181022,368
20181023,192
20181024,1492
20181025,1840
20181026,1556
20181027,1394
20181028,1658
20181029,502
20181030,276
20181031,2191
20181101,1799
20181102,1869
20181103,1866
20181104,2498
20181105,867
20181106,15574
20181107,5
20181108,24
20181109,955
20181110,470
20181111,607
20181112,63
20181113,8
20181114,494
20181115,347
20181116,724
20181117,367
20181118,431
20181119,50
20181120,21
20181121,597
20181122,684
20181123,775
20181124,685
20181125,799
20181126,380
20181127,158
20181128,805
20181129,740
20181130,798
20181201,872
20181202,1384
20181203,73
20181204,20
20181205,597
20181206,6558
20181207,631
20181208,589
20181209,537
20181210,38
20181211,244
20181212,167
20181213,381
20181214,762
20181215,436
20181216,428
20181217,30
20181218,19
20181219,471
20181220,416
20181221,264
20181222,5
20181223,17
20181224,16
20181225,9
20181226,594
20181227,436
20181228,440
20181229,390
20181230,469
20181231,23
Grand Total,168151
