Row Labels,Count of effective_date_registration
20180101,491
20180102,14
20180103,1144
20180104,997
20180105,969
20180106,926
20180107,990
20180108,42
20180109,34
20180110,1152
20180111,1121
20180112,1050
20180113,1008
20180114,1247
20180115,50
20180116,26
20180117,1305
20180118,1165
20180119,1127
20180120,1191
20180121,769
20180122,34
20180123,16
20180124,21
20180125,48
20180126,1556
20180127,1542
20180128,881
20180129,57
20180130,10
20180131,45
20180201,1833
20180202,1607
20180203,1575
20180204,1640
20180205,114
20180206,56
20180207,1696
20180208,1418
20180209,1579
20180210,1399
20180211,1471
20180212,106
20180213,62
20180214,161
20180215,750
20180216,1042
20180217,1381
20180218,1598
20180219,274
20180220,79
20180221,1663
20180222,1801
20180223,1774
20180224,1580
20180225,1861
20180226,169
20180227,101
20180228,2109
20180301,2523
20180302,2721
20180303,2762
20180304,3289
20180305,503
20180306,7425
20180307,60
20180308,1389
20180309,1127
20180310,1142
20180311,1318
20180312,79
20180313,55
20180314,1292
20180315,1184
20180316,1146
20180317,973
20180318,1421
20180319,96
20180320,49
20180321,110
20180322,1421
20180323,1223
20180324,1269
20180325,1422
20180326,193
20180327,85
20180328,1567
20180329,1472
20180330,1373
20180331,1454
20180401,1601
20180402,119
20180403,58
20180404,1486
20180405,2428
20180406,1313
20180407,1326
20180408,1478
20180409,84
20180410,49
20180411,1870
20180412,1761
20180413,1732
20180414,1694
20180415,1679
20180416,87
20180417,53
20180418,1422
20180419,1307
20180420,1382
20180421,1248
20180422,1285
20180423,352
20180424,64
20180425,1388
20180426,1363
20180427,1351
20180428,1372
20180429,915
20180430,71
20180501,65
20180502,1531
20180503,1548
20180504,1322
20180505,1864
20180506,1437
20180507,69
20180508,42
20180509,1345
20180510,1408
20180511,1296
20180512,1333
20180513,1340
20180514,87
20180515,50
20180516,1343
20180517,1326
20180518,1419
20180519,1290
20180520,1855
20180521,146
20180522,1868
20180523,43
20180524,1264
20180525,1276
20180526,975
20180527,1273
20180528,109
20180529,76
20180530,1246
20180531,1278
20180601,1005
20180602,1101
20180603,1140
20180604,277
20180605,66
20180606,1252
20180607,1340
20180608,1140
20180609,1162
20180610,1194
20180611,106
20180612,45
20180613,1267
20180614,1317
20180615,1462
20180616,1426
20180617,1434
20180618,68
20180619,46
20180620,1488
20180621,1645
20180622,1498
20180623,1442
20180624,1449
20180625,116
20180626,52
20180627,55
20180628,1775
20180629,1655
20180630,1670
20180701,1601
20180702,121
20180703,53
20180704,1625
20180705,1586
20180706,1518
20180707,1462
20180708,1500
20180709,134
20180710,74
20180711,1599
20180712,1610
20180713,1617
20180714,1489
20180715,1480
20180716,139
20180717,59
20180718,1538
20180719,1535
20180720,1806
20180721,1275
20180722,1653
20180723,129
20180724,223
20180725,1565
20180726,1662
20180727,1468
20180728,1580
20180729,1530
20180730,326
20180731,203
20180801,1244
20180802,1614
20180803,115
20180804,1543
20180805,1698
20180806,137
20180807,83
20180808,1568
20180809,1546
20180810,1434
20180811,1504
20180812,1521
20180813,126
20180814,220
20180815,1650
20180816,1553
20180817,1671
20180818,1578
20180819,1551
20180820,119
20180821,70
20180822,1627
20180823,1740
20180824,1825
20180825,1652
20180826,1640
20180827,114
20180828,78
20180829,1686
20180830,1580
20180831,1707
20180901,1615
20180902,1658
20180903,199
20180904,268
20180905,1646
20180906,1781
20180907,1859
20180908,1764
20180909,1788
20180910,353
20180911,117
20180912,1969
20180913,1806
20180914,1839
20180915,1888
20180916,2107
20180917,356
20180918,383
20180919,1732
20180920,1998
20180921,2182
20180922,1930
20180923,2091
20180924,377
20180925,335
20180926,2321
20180927,2332
20180928,2490
20180929,2107
20180930,2353
20181001,447
20181002,224
20181003,205
20181004,2492
20181005,2208
20181006,2751
20181007,2651
20181008,658
20181009,388
20181010,2824
20181011,2699
20181012,2644
20181013,2975
20181014,2916
20181015,900
20181016,528
20181017,4001
20181018,3554
20181019,4099
20181020,3763
20181021,4209
20181022,1213
20181023,920
20181024,5168
20181025,9999
20181026,6051
20181027,5329
20181028,6316
20181029,1752
20181030,1142
20181031,6784
20181101,6334
20181102,6644
20181103,6886
20181104,8096
20181105,3425
20181106,52059
20181107,94
20181108,144
20181109,3219
20181110,1417
20181111,1623
20181112,165
20181113,96
20181114,1374
20181115,1067
20181116,1162
20181117,1040
20181118,1158
20181119,90
20181120,72
20181121,1448
20181122,1632
20181123,1709
20181124,1508
20181125,1800
20181126,587
20181127,314
20181128,1831
20181129,1713
20181130,1634
20181201,1977
20181202,3050
20181203,117
20181204,45
20181205,1431
20181206,13961
20181207,1617
20181208,1477
20181209,1473
20181210,90
20181211,799
20181212,577
20181213,939
20181214,1353
20181215,1161
20181216,1347
20181217,52
20181218,46
20181219,1651
20181220,1691
20181221,1080
20181222,18
20181223,40
20181224,32
20181225,42
20181226,1557
20181227,1385
20181228,1310
20181229,1163
20181230,1319
20181231,61
Grand Total,548635
